Group.1	row.sum	
Acidobacteria	3210	35
Actinobacteria	10247	38
Aminicenantes	3	7
Armatimonadetes	167	24
Atribacteria	0	1
Bacteroidetes	51567	40
Candidate division OP3	2	4
Candidate division SR1	0	2
Candidate division WS6	2	5
Chlamydiae	173	25
Chlorobi	154	23
Chloroflexi	1657	31
Cyanobacteria	2794	33
Deinococcus-Thermus	14	13
Elusimicrobia	70	20
Fibrobacteres	49	19
Firmicutes	2124	32
Gemmatimonadetes	5443	36
Gracilibacteria	237	27
Hydrogenedentes	32	16
JL-ETNP-Z39	16	14
Latescibacteria	144	22
Microgenomates	38	17
Nitrospirae	400	28
Omnitrophica	3	8
Parcubacteria	214	26
Planctomycetes	5736	37
Proteobacteria	26133	39
Saccharibacteria	869	29
SHA-109	9	12
SM2F11	21	15
Spirochaetae	6	11
TA06	2	6
Tenericutes	3	9
Thermotogae	0	3
TM6	89	21
Unclassified	1047	30
Verrucomicrobia	3108	34
WCHB1-60	39	18
WD272	3	10
