id	otu.vs.div.Pvalue	otu.vs.div.corvect	color	phylum	class	order	family	genus	specie
OTU2297	0.0000003	0.662541349	red	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	Candidatus Fritschea	uncultured Simkaniaceae bacterium
OTU815	0.0000013	0.633684159	red	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11 terrestrial group	norank	norank	uncultured bacterium
OTU1283	0.0000172	0.577573141	red	Spirochaetae	Spirochaetes	Spirochaetales	Leptospiraceae	Turneriella	Turneriella parva DSM 21527
OTU8473	0.0000181	0.576390418	red	Saccharibacteria	norank	norank	norank	norank	uncultured bacterium
OTU8123	0.0000192	0.574929719	red	Verrucomicrobia	OPB35 soil group	norank	norank	norank	Unclassified
OTU1888	0.000021	0.572745067	red	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum FQY_4
OTU7589	0.0000237	0.569741279	red	Planctomycetes	OM190	norank	norank	norank	uncultured bacterium
OTU2212	0.0000245	0.568973816	red	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU684	0.0000651	0.543660282	red	Parcubacteria	norank	norank	norank	norank	uncultured bacterium
OTU28	0.0000738	0.540275536	red	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Unclassified
OTU5681	0.0000839	0.536752172	red	Parcubacteria	norank	norank	norank	norank	uncultured bacterium
OTU4025	0.0000933	0.533827847	red	Microgenomates	norank	norank	norank	norank	uncultured bacterium
OTU6050	0.0000963	0.53294804	red	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU1497	0.0000963	0.53294804	red	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Beggiatoa	uncultured bacterium
OTU7142	0.0000963	0.53294804	red	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella	uncultured Aquicella sp.
OTU4599	0.0000963	0.53294804	red	Proteobacteria	Deltaproteobacteria	Myxococcales	VHS-B3-70	norank	uncultured bacterium
OTU6728	0.0001091	0.529442046	red	Saccharibacteria	norank	norank	norank	norank	uncultured bacterium
OTU2239	0.00011	0.529225424	red	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	uncultured bacterium
OTU3500	0.0001556	0.519295518	red	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Unclassified	Unclassified	Unclassified
OTU6897	0.0001577	0.518897541	red	Gracilibacteria	norank	norank	norank	norank	uncultured bacterium
OTU3107	0.0001577	0.518897541	red	TM6	norank	norank	norank	norank	uncultured bacterium
OTU8039	0.0002157	0.509647191	red	Nitrospirae	Nitrospira	norank	norank	Nitrospira	uncultured bacterium
OTU7032	0.0002433	0.506028349	red	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter	uncultured bacterium
OTU6749	0.0002887	0.500802927	red	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus	uncultured bacterium
OTU3684	0.0003003	0.499581998	red	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	uncultured bacterium
OTU6867	0.0003554	0.494334345	red	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	norank	uncultured organism
OTU8474	0.0003762	0.492543681	red	Parcubacteria	norank	norank	norank	norank	uncultured bacterium
OTU4259	0.0003951	0.490990253	red	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unclassified
OTU4394	0.0004523	0.486679087	red	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	env.OPS 17	norank	Unclassified
OTU7000	0.0004998	0.48345285	red	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Bauldia	Unclassified
OTU78	0.0005015	0.483340013	red	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	EM3	uncultured bacterium
OTU549	0.0005115	0.482701044	red	Proteobacteria	Deltaproteobacteria	Oligoflexales	norank	norank	uncultured bacterium
OTU4391	0.0005519	0.48021815	red	Proteobacteria	Deltaproteobacteria	Oligoflexales	norank	norank	uncultured bacterium
OTU4314	0.0006101	0.476910483	red	Planctomycetes	Phycisphaerae	WD2101 soil group	norank	norank	uncultured bacterium
OTU5481	0.0007118	0.471767502	red	TM6	norank	norank	norank	norank	uncultured bacterium
OTU2475	0.000868	0.465024914	red	Proteobacteria	Gammaproteobacteria	34P16	norank	norank	uncultured bacterium
OTU5385	0.0009212	0.462976555	red	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU8709	0.0012054	0.453557368	red	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	uncultured bacterium
OTU2186	0.0012354	0.452683256	red	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU7449	0.001285	0.451276244	red	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU4531	0.0013305	0.45002859	red	Saccharibacteria	norank	norank	norank	norank	uncultured bacterium
OTU8465	0.0013557	0.449355948	red	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU340	0.0014174	0.447748506	red	Planctomycetes	vadinHA49	norank	norank	norank	uncultured bacterium
OTU1132	0.0016015	0.443304356	red	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	NS11-12 marine group	norank	Unclassified
OTU1525	0.0016246	0.442778504	red	Candidate division WS6	norank	norank	norank	norank	uncultured bacterium
OTU5023	0.0016695	0.441776877	red	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	env.OPS 17	norank	uncultured Bacteroidetes bacterium
